Category,Rating,Rating Count,Installs,Free,Price,Minimum Android,Content Rating,Ad Supported,In App Purchases,Editors Choice,Name Length,Size in MB,App Age,Last Update Age
Photography,4.4,157.0,53134.0,True,0.0,4,Everyone,True,False,False,39.0,12.0,871.0,309.0
Puzzle,4.5,149.0,5110.0,True,0.0,2,Everyone,True,False,False,46.0,14.0,910.0,910.0
Tools,2.9,31.0,6712.0,True,0.0,5,Everyone,False,False,False,15.0,14.0,1131.0,5.0
News & Magazines,3.9,95.0,16025.0,True,0.0,4,Everyone 10+,True,False,False,12.0,21.0,2296.0,516.0
Casual,5.0,7.0,72.0,True,0.0,4,Everyone,True,False,False,11.0,40.0,1060.0,711.0
Tools,4.0,61.0,36923.0,True,0.0,5,Mature 17+,True,False,False,23.0,3.3,355.0,51.0
Photography,4.1,9373.0,1691824.0,True,0.0,5,Everyone,True,False,False,50.0,25.0,1678.0,58.0
Auto & Vehicles,3.9,224.0,96675.0,True,0.0,5,Teen,True,False,False,39.0,71.0,836.0,81.0
Lifestyle,3.5,29.0,21316.0,True,0.0,4,Everyone,True,False,False,33.0,18.0,398.0,398.0
Books & Reference,4.4,106.0,69084.0,True,0.0,3,Everyone,True,False,False,27.0,1.2,1912.0,1878.0
Communication,4.5,8.0,286.0,True,0.0,4,Everyone,False,False,False,20.0,2.9,764.0,567.0
Education,3.9,29.0,1557.0,True,0.0,5,Everyone,False,False,False,14.0,27.0,214.0,253.0
Education,5.0,9.0,133.0,True,0.0,6,Teen,False,False,False,20.0,52.0,1908.0,44.0
Personalization,3.8,6.0,3750.0,True,0.0,4,Teen,True,False,False,15.0,7.2,755.0,280.0
Music & Audio,4.8,163.0,16466.0,True,0.0,4,Everyone,True,False,False,39.0,74.0,462.0,189.0
Music & Audio,4.1,29.0,5984.0,True,0.0,4,Everyone 10+,True,True,False,27.0,3.0,1308.0,1149.0
Educational,3.8,172.0,46922.0,True,0.0,4,Everyone,False,True,False,17.0,132.0,509.0,233.0
Finance,4.9,15.0,831.0,True,0.0,4,Everyone,False,False,False,40.0,9.3,208.0,46.0
Tools,2.7,14.0,1200.0,True,0.0,4,Everyone,False,False,False,22.0,26.0,1553.0,480.0
Communication,4.8,1020.0,96040.0,True,0.0,5,Mature 17+,True,False,False,42.0,10.0,846.0,480.0
Finance,4.2,5.0,390.0,True,0.0,5,Everyone,False,False,False,9.0,31.0,1005.0,286.0
Entertainment,4.3,18040.0,6320240.0,True,0.0,4,Everyone,True,True,False,27.0,91.0,1051.0,658.0
Photography,4.5,192.0,97876.0,True,0.0,2,Everyone,True,False,False,27.0,6.9,1740.0,970.0
Communication,4.9,13.0,1468.0,True,0.0,4,Everyone,False,False,False,23.0,5.4,1485.0,926.0
Entertainment,4.7,10.0,370.0,True,0.0,4,Everyone,False,True,False,9.0,12.0,580.0,545.0
Travel & Local,4.3,18.0,3866.0,True,0.0,4,Teen,True,False,False,50.0,77.0,562.0,350.0
Education,3.0,30.0,9023.0,True,0.0,2,Everyone,False,True,False,13.0,20.0,1726.0,1593.0
Music & Audio,4.6,7.0,782.0,True,0.0,2,Everyone,False,False,False,20.0,1.6,1232.0,1230.0
Travel & Local,3.8,176.0,119886.0,True,0.0,6,Everyone,False,False,False,30.0,83.0,2437.0,116.0
Social,4.9,63.0,1020.0,True,0.0,4,Teen,False,False,False,14.0,94.0,1548.0,183.0
Puzzle,4.3,33.0,533.0,True,0.0,4,Everyone,False,False,False,26.0,29.0,1268.0,1249.0
Puzzle,3.7,20.0,23808.0,True,0.0,4,Everyone,True,True,False,35.0,32.0,774.0,43.0
Sports,5.0,22.0,418.0,True,0.0,4,Everyone,True,False,False,14.0,9.0,847.0,847.0
Simulation,4.1,958.0,523783.0,True,0.0,4,Everyone,True,False,False,40.0,52.0,1357.0,42.0
Personalization,4.1,63.0,12185.0,True,0.0,2,Everyone,True,False,False,24.0,0.80859375,3392.0,3144.0
Tools,4.4,7.0,441.0,True,0.0,5,Everyone,False,False,False,8.0,1.9,1162.0,544.0
Music & Audio,4.5,92.0,13795.0,True,0.0,4,Everyone,True,False,False,33.0,131.0,250.0,250.0
Adventure,5.0,10.0,840.0,True,0.0,5,Everyone,True,False,False,12.0,65.0,306.0,73.0
Education,2.7,7.0,3978.0,True,0.0,5,Everyone,False,False,False,22.0,6.2,1239.0,29.0
News & Magazines,4.6,9.0,2587.0,True,0.0,4,Everyone,True,False,False,15.0,1.7,486.0,486.0
Communication,4.1,16.0,20052.0,True,0.0,4,Mature 17+,True,False,False,25.0,15.0,720.0,282.0
Entertainment,3.5,62.0,52046.0,True,0.0,4,Everyone,True,False,False,21.0,9.7,971.0,49.0
Puzzle,5.0,7.0,38.0,True,0.0,6,Everyone,True,True,False,34.0,12.0,241.0,217.0
Business,4.2,189.0,72706.0,True,0.0,5,Everyone,True,False,False,11.0,42.0,1357.0,46.0
Social,3.9,17.0,2724.0,True,0.0,5,Mature 17+,False,False,False,45.0,35.0,914.0,103.0
Entertainment,3.9,151.0,50262.0,True,0.0,4,Everyone,True,False,False,17.0,6.7,3452.0,132.0
Entertainment,4.1,667.0,129852.0,True,0.0,4,Everyone,True,False,False,21.0,7.9,2203.0,844.0
Tools,4.8,2242.0,143954.0,True,0.0,4,Everyone,True,False,False,45.0,4.9,700.0,467.0
News & Magazines,3.4,9.0,1117.0,True,0.0,4,Everyone 10+,True,False,False,23.0,2.6,348.0,294.0
